DATE,AUTHOR,TWEET
2016-11-08 00:29:03,DavidBCohen1,RT @RiggedDebate: Breaking: Jay Z punches underage girl in the face for taking his picture backstage at @HillaryClinton rally.' 
2016-11-08 00:29:03,jimsx50,"RT @kinthenorthwest: @HillaryClinton 
Clinton Underground Child Sex Scandal PART 1
https://t.co/raj9WenZkk"
2016-11-08 00:29:04,ts65136,RT @Darren32895836: If Obama wasn't protecting @HillaryClinton she'd be behind bars already!!#ElectionFinalThoughts #Election2016' 
2016-11-08 00:29:04,iceresurface,"Listening to Trump voters at the bar and their main concern is that government wastes money and their taxes pay for it.
CC: @HillaryClinton"
2016-11-08 00:29:04,1handputter,RT @NowThinkAgain: BOYCOTT CNN TELL THE TRUTH #ImWithHer #StrongerTogether #ImWithNasty #GoHillary #spiritcooking  #millennials TEACHE' 
2016-11-08 00:29:04,Janeygilly,RT @lonireeder: @LisaBloom - when you 'know' someone he's made the attempt with! ' #NeverTrump https://t.co/UBXdAP0y3E
2016-11-08 00:29:04,paul_alejandro_,@HillaryClinton &amp; @realDonaldTrump fuck off
2016-11-08 00:29:04,505GhostRider,"No matter what the news media says..Hillary Clinton will be our next president of the United States. 
 If not make' https://t.co/SO8W747weB"
2016-11-08 00:29:04,VoteEquality,"RT @typicalkevinn: #ImVotingBecause If Trump wins, so will the bullies, the racists, the sexual predators #ElectionFinalThoughts #NeverTrump"
2016-11-08 00:29:04,MarkBadgett7,RT @iloveakqj10: Retweet if you Predict #DonaldTrump will crush #HillaryClinton and become the 45th President of The #USA Vote #TRUMP https'
2016-11-08 00:29:04,tkik,"Tomorrow, #Hillary will have one of these looks after the first results. https://t.co/Qiz9KFQaWN"
2016-11-08 00:29:04,muegge_g,@HillaryClinton NOT ON MY DOLLAR BITCH................I PAID FOR MY EDUCATION https://t.co/npmhq2kdWK
2016-11-08 00:29:04,LouisAshland1,"RT @AtlTeaPartyLove: Let's Save America for All!
#ElectionFinalThoughts #ImVotingBecause #Imwithher #BernieSanders ElectionEve https://t.co'"
2016-11-08 00:29:04,NotEblenTom,RT @wikileaks: RELEASE: The Podesta Emails Part 34 #PodestaEmails #PodestaEmails34 #HillaryClinton #imWithHer' 
2016-11-08 00:29:04,MsAnieTrumpette,RT @wikileaks: RELEASE: The Podesta Emails Part 34 #PodestaEmails #PodestaEmails34 #HillaryClinton #imWithHer' 
2016-11-08 00:29:04,TrumpMiners,RT @wikileaks: RELEASE: The Podesta Emails Part 34 #PodestaEmails #PodestaEmails34 #HillaryClinton #imWithHer' 
2016-11-08 00:29:04,cpdallas,RT @CecileRichards: Feeling AWR love for the final 24 hours. Mom believed in women &amp; she believed in @hillaryclinton! She's waiting for' 
2016-11-08 00:29:04,ChaosApathy,RT @wikileaks: RELEASE: The Podesta Emails Part 34 #PodestaEmails #PodestaEmails34 #HillaryClinton #imWithHer' 
2016-11-08 00:29:04,Katembgirl,RT @VanJones68: THIS IS THE BIGOTRY WE MUST DEFEAT -- TOMORROW. Please RT and share everywhere. @realDonaldTrump #ImWithHer' 
2016-11-08 00:29:04,weh8hillary,RT @wikileaks: RELEASE: The Podesta Emails Part 34 #PodestaEmails #PodestaEmails34 #HillaryClinton #imWithHer' 
2016-11-08 00:29:04,TheRealFixNow,RT @iloveakqj10: Retweet if you Predict #DonaldTrump will crush #HillaryClinton and become the 45th President of The #USA Vote #TRUMP https'
2016-11-08 00:29:05,AndreFrato,RT @JordanChariton: New @wikileaks Email Shows Additional Questions @DonnaBrazile Sent Team @HillaryClinton #PodestaEmails33 https://t.co/d'
2016-11-08 00:29:05,HeyJude_007,RT @girlsreallyrule: I am thirsting...THIRSTING for change @realDonaldTrump...that is why I VOTED HILLARY. #ElectionFinalThoughts #Election'
2016-11-08 00:29:04,neilparekh,RT @SEIU: SEIU members are using the ballot box to fight 4 justice on all fronts. We need a president who stands with us' 
2016-11-08 00:29:04,HelpThemSee,@VanJones68 @realDonaldTrump @HillaryClinton  This needs to be over. Hillary's got to win.
2016-11-08 00:29:05,Maui5150,Two things you will never find at a @HillaryClinton rally - a love for GOD and COUNTRY!!! @realDonaldTrump for President. #VoteTrump
2016-11-08 00:29:05,heartfiIIia,"@mintedjasika jas has something to say, YALL: https://t.co/WnosC8q7km"
2016-11-08 00:29:05,lukowski590,"RT @MMAfightfans: ' #TrumpPence16 NEVER, NEVER DISHONEST ' @HillaryClinton #Credibility Cannot Be Bought~ https://t.co/55ucXEd4nn"
2016-11-08 00:29:05,1stFanofChicago,RT @HeyTweetHarry: Tonight #HillaryClinton pulls out all the stops. #springsteen &amp; #BonJovi perform at her rally. I may vote for them. http'
2016-11-08 00:29:05,mstuart104,"RT @bfraser747: ' #ElectionFinalThoughts 

There will endless investigations if #Hillary  elected. She's guilty of numerous crimes' "
2016-11-08 00:29:05,louis4title,@HillaryClinton @POTUS I thought it was Jay Z and Beyonc'?
2016-11-08 00:29:05,70NEWS1,RT @BW_React: #Election2016: #Trump has received more positive mentions than #Hillary in the last 24 hrs: https://t.co/pI2sWCE9KK https://t'
2016-11-08 00:29:05,pupperluvr,"#ElectionFinalThoughts we are not screwed, one of the candidates is far more qualified than the other and #ImWithHer"
2016-11-08 00:29:05,invepersblili,"RT @willyclicks: A Vote For Hillary is a Vote For World War 3! 

Are you 'with her' nuclear holocaust?

https://t.co/0M5FBW1y7j

#HillaryCl'"
2016-11-08 00:29:02,stop_sarahtime,Seriously debating on wearing a pantsuit to go vote tomorrow. Why the fuck not? #imwithher
2016-11-08 00:29:05,tohajilee,RT @ReikiNurse007: In honor of my loving son in law who passed on 11/1 I voted HRC! The kids can NEVER see the BULLY ' #NeverTrump https://'
2016-11-08 00:29:05,ATSD,"It's Election Eve. If I leave some milk&amp;cookies and sleep in a pumpkin patch, can I have Hillary Clinton for President tomorrow? #ImWithHer"
2016-11-08 00:29:05,SkyGuyinVA,Proud! https://t.co/n46v1LuDeO
2016-11-08 00:29:06,taz_duke,@BretBaier @foxnewspoll @realDonaldTrump @HillaryClinton I guess the general pop doesnt consider being honest as a qualification....
2016-11-08 00:29:01,HeyJude_007,"RT @OnAirJake: DONALD TRUMP CANNOT WIN.
DONALD TRUMP CANNOT WIN.
DONALD TRUMP CANNOT WIN.
DONALD TRUMP CANNOT WIN.
DONALD TRUMP CANNOT WIN.'"
2016-11-08 00:29:05,ewandonegan,@toffeeman71 @AngelicUpstarta @KickAssCantona @HillaryClinton there may be but as it stands Hilary is the criminal not trump
2016-11-08 00:29:05,ActionTime,RT @ActionTime: Stocks Soar By More Than 200 Points After FBI Clears Hillary #VoteBlue #UniteBlue #Hillary2016 #ImWithHer #HillYes https://'
