"Topic 0, years, hell, hillaryclinton, likely, realdonaldtrump"
"Topic 1, voting, large, imwithher maga, maga, sample"
"Topic 2, hillaryclinton, trump, hillary, nevertrump, vote"
"Topic 3, potus, frickin, hillaryclinton potus, hillary, trust"
"Topic 4, ladygaga, tonight, realdonaldtrump hillaryclinton, listen, hillaryclinton"
"Topic 5, damn, rally, hillaryclinton, jay, z"
"Topic 6, support, global, manufacturing, berniesanders, chelsea"
"Topic 7, thanks, vote hillaryclinton, hope, difference, following"
"Topic 8, podesta, hillaryclinton imwithher, podesta emails, podestaemails, podestaemails hillaryclinton"
"Topic 9, day, tomorrow, lol, election, make sure"
"Topic 10, hillaryclinton, clinton, eve, people, election eve"
"Topic 11, na, gon na, gon, imwithher withherfirst, withherfirst"
"Topic 12, hillaryclinton, questions, donnabrazile, team, email"
"Topic 13, vote, vote hillary, war, hillary vote, vote hillary vote"
"Topic 14, exposed, change, like, hear, donald"
"Topic 15, zachhaller, stands, unite, hillaryclinton stands, stands amp americans unite"
